maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency
2919,"Achner, Michael",Violin,Wallgau,Tarisio,"Feb 20, 2010",354,4200.0,2721.0,3107.0,usd
2919,"Achner, Michael",Violin,Mittenwald,Bongartz's,"Apr 27, 1987",145,2838.0,1702.0,,
2611,"Achner, Philip",Violin,Mittenwald,Tarisio,"May 17, 2018",123,24000.0,17759.0,20330.0,usd
2611,"Achner, Philip",Violin,,Bongartz's,"Nov 15, 2008",138,3884.0,2613.0,3064.0,
2611,"Achner, Philip",Violin,Mittenwald,Sotheby's,"Mar 27, 1990",16,2146.0,1320.0,,
890,"Acoulon, Alexandre Alfred",Violin Bow,,,"May 30, 2025",,2400.0,1780.0,2117.0,
890,"Acoulon, Alexandre Alfred",Violin,,Tarisio,"Nov 8, 2019",118,2950.0,2301.0,2675.0,
890,"Acoulon, Alexandre Alfred",Violin,Paris,Tarisio,"Oct 16, 2013",202,3000.0,1871.0,2212.0,usd
890,"Acoulon, Alexandre Alfred",Violin,Mirecourt,Tarisio,"Oct 25, 2007",191,4388.0,2142.0,3067.0,usd
890,"Acoulon, Alexandre Alfred",Violin Bow,,Bongartz's,"Nov 12, 2005",340,3296.0,1897.0,2818.0,
890,"Acoulon, Alexandre Alfred",Cello,,Bonhams,"Sep 6, 2004",142,8082.0,4541.0,6696.0,
890,"Acoulon, Alexandre Alfred",Violin,Paris,Bonhams,"Jul 19, 1994",156,1365.0,880.0,,
890,"Acoulon, Alexandre Alfred",Violin Bow,Paris,Phillip's,"Sep 19, 1991",206,2280.0,1320.0,,
890,"Acoulon, Alexandre Alfred",Violin Bow,Paris,Phillip's,"Mar 13, 1991",137,694.0,374.0,,
890,"Acoulon, Alexandre Alfred",Violin,Mirecourt,Phillip's,"Jun 22, 1989",57,874.0,563.0,,
890,"Acoulon, Alexandre Alfred",Violin,,Phillip's,"Jun 16, 1988",89,2147.0,1202.0,,
890,"Acoulon, Alexandre Alfred",Violin,,Phillip's,"Apr 14, 1988",105,2626.0,1400.0,,
890,"Acoulon, Alexandre Alfred",Violin Bow,Paris,Sotheby's,"Jun 9, 1987",236,658.0,396.0,,
890,"Acoulon, Alexandre Alfred",Violin,Paris,Christie's,"Mar 18, 1986",141,1037.0,702.0,,
890,"Acoulon, Alexandre Alfred",Violin,Paris,Phillip's,"Mar 27, 1986",98,1436.0,968.0,,
890,"Acoulon, Alexandre Alfred",Violin Bow,Paris,Bongartz's,"Nov 18, 1985",218,295.0,207.0,,
890,"Acoulon, Alexandre Alfred",Violin Bow,Paris,Phillip's,"Oct 17, 1985",135,498.0,352.0,,
1662,"Acton, William John",Violin,London,Bonhams,"Mar 12, 2002",299,488.0,345.0,559.0,gbp
1662,"Acton, William John",Cello,,Sotheby's,"Nov 13, 2001",93,3173.0,2200.0,3589.0,
1662,"Acton, William John",Cello,London,Sotheby's,"Nov 13, 2001",95,3808.0,2640.0,4307.0,gbp
1662,"Acton, William John",Cello,,Gardiner-Houlgate,"Nov 12, 2000",192,6909.0,4830.0,7966.0,
1662,"Acton, William John",Cello,London,Phillip's,"Jul 23, 1992",170,1157.0,605.0,,
1662,"Acton, William John",Violin,London,Phillip's,"Oct 24, 1991",186,104.0,61.0,,
1662,"Acton, William John",Violin,,Phillip's,"Oct 22, 1987",87,363.0,220.0,,
1662,"Acton, William John",Violin,,Sotheby's,"Jun 9, 1987",192,365.0,220.0,,
1662,"Acton, William John",Violin,,Phillip's,"Dec 18, 1986",45,441.0,308.0,,
1662,"Acton, William John",Violin,,Phillip's,"Jul 19, 1984",99,292.0,220.0,,
1988,"Adam, Jean 'Grand'",Violin Bow,,,"Jun 5, 2025",,19276.0,14207.0,16875.0,
1988,"Adam, Jean 'Grand'",Violin Bow,,,"Feb 27, 2024",,19513.0,15399.0,18000.0,
1988,"Adam, Jean 'Grand'",Violin Bow,,,"Nov 17, 2023",,21600.0,17393.0,19872.0,
1988,"Adam, Jean 'Grand'",Violin Bow,,Tarisio,"Oct 25, 2022",99,32894.0,28638.0,33000.0,
1988,"Adam, Jean 'Grand'",Violin Bow,,Vichy-Enchères,"Dec 3, 2020",92,84440.0,62741.0,69440.0,
1988,"Adam, Jean 'Grand'",Violin Bow,,Vichy-Enchères,"Dec 3, 2020",229,22618.0,16806.0,18600.0,
1988,"Adam, Jean 'Grand'",Cello Bow,,Vichy-Enchères,"Dec 3, 2020",340,30157.0,22407.0,24800.0,
1988,"Adam, Jean 'Grand'",Viola Bow,,Tarisio,"Mar 24, 2020",52,9129.0,7800.0,8465.0,
1988,"Adam, Jean 'Grand'",Violin Bow,Mirecourt,Ingles & Hayday,"Oct 19, 2019",156,24923.0,19200.0,22313.0,gbp
